frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
133,21.168,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
134,21.325,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
135,21.472,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
136,21.605,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
137,21.74,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
138,21.875,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
139,22.013,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
140,22.138,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
141,22.27,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
142,22.398,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
143,22.53,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
144,22.663,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
145,22.791,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
146,22.922,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
147,23.058,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
148,23.181,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
149,23.334,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
150,23.474,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
151,23.605,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
152,23.748,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
153,23.904,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
154,24.051,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
155,24.203,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
156,24.363,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
157,24.5,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
158,24.628,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
159,24.757,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
160,24.882,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
161,25.013,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
162,25.142,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
163,25.267,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
164,25.398,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
165,25.543,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
166,25.68,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
167,25.841,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
168,25.988,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
169,26.115,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
170,26.241,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
171,26.371,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
172,26.505,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
173,26.632,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
174,26.759,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
175,26.906,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
176,27.035,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
177,27.164,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
178,27.3,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
179,27.431,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
180,27.559,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
181,27.69,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
182,27.839,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
183,27.974,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
184,28.101,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
185,28.231,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
186,28.356,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
187,28.487,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
188,28.672,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
189,28.803,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
190,28.95,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
191,29.082,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
192,29.221,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
193,29.353,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
194,29.475,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
195,29.605,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
196,29.73,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
197,29.861,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
198,30.069,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
199,30.224,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
200,30.354,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
201,30.483,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
202,30.621,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
203,30.747,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
204,30.877,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
205,31.006,CRUISE,0.1891,0.4202,0.0,0.0001,0.0,0.0001,0.0002,0.0,
206,31.136,CRUISE,0.1891,0.4202,0.0,0.0003,0.0,0.0,0.0,0.0,
207,31.271,CRUISE,0.1891,0.4202,0.0,0.0004,0.0,0.0,0.0,0.0,
208,31.401,CRUISE,0.1891,0.4202,0.0,0.0005,0.0,0.0,0.0,0.0,
209,31.525,CRUISE,0.1891,0.4202,0.0,0.0006,0.0001,0.0,0.0,0.0,
210,31.654,CRUISE,0.1891,0.4202,0.0,0.0007,0.0001,0.0,0.0,0.0,
211,31.787,CRUISE,0.1891,0.4202,0.0,0.0007,0.0001,0.0,0.0,0.0,
212,31.919,CRUISE,0.1891,0.4202,0.0,0.0008,0.0001,0.0,0.0,0.0,
213,32.052,CRUISE,0.1891,0.4202,0.0,0.0009,0.0001,0.0,0.0,0.0,
214,32.2,CRUISE,0.1891,0.4202,0.0,0.0009,0.0001,0.0,0.0,0.0,
215,32.346,CRUISE,0.1891,0.4202,0.0,0.0009,0.0001,0.0,0.0,0.0,
216,32.479,CRUISE,0.1891,0.4202,0.0,0.001,0.0001,0.0,0.0,0.0,
217,32.633,CRUISE,0.1891,0.4202,0.0,0.001,0.0001,0.0,0.0,0.0,
218,32.771,CRUISE,0.1891,0.4202,0.0,0.001,0.0001,0.0,0.0,0.0,
219,32.905,CRUISE,0.1891,0.4202,0.0,0.001,0.0001,0.0,0.0,0.0,
220,33.051,CRUISE,0.1891,0.4202,0.0,0.001,0.0001,0.0,0.0,0.0,
221,33.183,CRUISE,0.1891,0.4202,0.0,0.001,0.0001,0.0,0.0,0.0,
222,33.311,CRUISE,0.1891,0.4202,0.0,0.001,0.0001,0.0,0.0,0.0,
223,33.437,CRUISE,0.1891,0.4202,0.0,0.0009,0.0001,0.0,0.0,0.0,
224,33.568,CRUISE,0.1891,0.4202,0.0,0.0009,0.0001,0.0,0.0,0.0,
225,33.697,CRUISE,0.1891,0.4202,0.0,0.0009,0.0001,0.0,0.0,0.0,
226,33.829,CRUISE,0.1891,0.4202,0.0,0.0008,0.0001,0.0,0.0,0.0,
227,33.956,CRUISE,0.1891,0.4202,0.0,0.0007,0.0001,0.0,0.0,0.0,
228,34.088,CRUISE,0.1891,0.4202,0.0,0.0007,0.0001,0.0,0.0,0.0,
229,34.22,CRUISE,0.1891,0.4202,0.0,0.0006,0.0001,0.0,0.0,0.0,
230,34.351,CRUISE,0.1891,0.4202,0.0,0.0005,0.0,0.0,0.0,0.0,
231,34.498,CRUISE,0.1891,0.4202,0.0,0.0004,0.0,0.0,0.0,0.0,
232,34.64,CRUISE,0.1891,0.4202,0.0,0.0003,0.0,0.0,0.0,0.0,
233,34.836,CRUISE,0.1891,0.4202,0.0,0.0001,0.0,0.0,0.0,0.0,
234,35.006,CRUISE,0.1891,0.4202,0.0,-0.0,0.0,0.0,0.0,0.0,
235,35.142,CRUISE,0.1688,0.375,0.0,-0.0001,0.0,0.0,0.0,0.0,
236,35.281,CRUISE,0.1688,0.375,0.0,-0.0003,0.0,0.0,0.0,0.0,
237,35.42,CRUISE,0.1688,0.375,0.0,-0.0004,0.0,0.0,0.0,0.0,
238,35.547,CRUISE,0.1688,0.375,0.0,-0.0005,0.0,0.0,0.0,0.0,
239,35.677,CRUISE,0.1688,0.375,0.0,-0.0006,0.0001,0.0,0.0,0.0,
240,35.81,CRUISE,0.1688,0.375,0.0,-0.0007,0.0001,0.0,0.0,0.0,
241,35.935,CRUISE,0.1688,0.375,0.0,-0.0007,0.0001,0.0,0.0,0.0,
242,36.071,CRUISE,0.1688,0.375,0.0,-0.0008,0.0001,0.0,0.0,0.0,
243,36.202,CRUISE,0.1688,0.375,0.0,-0.0009,0.0001,0.0,0.0,0.0,
244,36.33,CRUISE,0.1688,0.375,0.0,-0.0009,0.0001,0.0,0.0,0.0,
245,36.463,CRUISE,0.1688,0.375,0.0,-0.0009,0.0001,0.0,0.0,0.0,
246,36.587,CRUISE,0.1688,0.375,0.0,-0.001,0.0001,0.0,0.0,0.0,
247,36.734,CRUISE,0.1688,0.375,0.0,-0.001,0.0001,0.0,0.0,0.0,
248,36.859,CRUISE,0.1688,0.375,0.0,-0.001,0.0001,0.0,0.0,0.0,
