frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
145,30.756,CRUISE,0.344,0.4914,0.0,0.0007,0.0002,0.0,0.0,0.0,
146,30.946,CRUISE,0.344,0.4914,0.0,0.0004,0.0001,0.0,0.0,0.0,
147,31.124,CRUISE,0.344,0.4914,0.0,0.0001,0.0,0.0,0.0,0.0,
148,31.315,CRUISE,0.3164,0.452,0.0,-0.0002,0.0,0.0,0.0,0.0,
149,31.495,CRUISE,0.2699,0.3856,0.0,-0.0006,0.0002,0.0,0.0,0.0,
150,31.674,CRUISE,0.2625,0.375,0.0,-0.0011,0.0004,0.0,0.0,0.0,
151,31.85,CRUISE,0.2625,0.375,0.0,-0.0016,0.0006,0.0,0.0,0.0,
152,32.035,CRUISE,0.2625,0.375,0.0,-0.002,0.0007,0.0,0.0,0.0,
153,32.226,CRUISE,0.2625,0.375,0.0,-0.0023,0.0009,0.0,0.0,0.0,
154,32.408,CRUISE,0.2625,0.375,0.0,-0.0027,0.001,0.0,0.0,0.0,
155,32.585,CRUISE,0.2625,0.375,0.0,-0.003,0.0011,0.0,0.0,0.0,
156,32.763,CRUISE,0.2625,0.375,0.0,-0.0032,0.0013,0.0,0.0,0.0,
157,32.947,CRUISE,0.2625,0.375,0.0,-0.0035,0.0013,0.0,0.0,0.0,
158,33.125,CRUISE,0.2625,0.375,0.0,-0.0037,0.0014,0.0,0.0,0.0,
159,33.301,CRUISE,0.2625,0.375,0.0,-0.0038,0.0015,0.0,0.0,0.0,
160,33.498,CRUISE,0.2625,0.375,0.0,-0.0039,0.0015,0.0,0.0,0.0,
161,33.681,CRUISE,0.2625,0.375,0.0,-0.004,0.0016,0.0,0.0,0.0,
162,33.862,CRUISE,0.2625,0.375,0.0,-0.0041,0.0016,0.0,0.0,0.0,
163,34.052,CRUISE,0.2625,0.375,0.0,-0.0041,0.0016,0.0,0.0,0.0,
164,34.248,CRUISE,0.2625,0.375,0.0,-0.004,0.0016,0.0,0.0,0.0,
165,34.434,CRUISE,0.2625,0.375,0.0,-0.004,0.0016,0.0,0.0,0.0,
166,34.609,CRUISE,0.2625,0.375,0.0,-0.0039,0.0015,0.0,0.0,0.0,
167,34.793,CRUISE,0.2625,0.375,0.0,-0.0037,0.0015,0.0,0.0,0.0,
168,34.98,CRUISE,0.2625,0.375,0.0,-0.0036,0.0014,0.0,0.0,0.0,
169,35.177,CRUISE,0.2625,0.375,0.0,-0.0034,0.0013,0.0,0.0,0.0,
170,35.379,CRUISE,0.2625,0.375,0.0,-0.0031,0.0012,0.0,0.0,0.0,
