scenario,policy,trial,hqm,S,E,B,R,unsafe_commits,decision_latency_ms,resolution,n_transitions
pedestrian_curb,risk_threshold,15,0.5731,0.0105,1.0,0.8444,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,15,0.5731,0.0105,1.0,0.8444,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,16,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,16,0.7474,0.5158,1.0,0.7057,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,16,0.4391,-0.2335,1.0,0.6628,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,16,0.5133,-0.0246,1.0,0.6157,1.0,0,2305.8,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,16,0.5837,0.0372,1.0,0.8441,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,16,0.5837,0.0372,1.0,0.8441,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,17,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,17,0.743,0.5043,1.0,0.7064,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,17,0.4436,-0.22,1.0,0.658,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,17,0.3403,-0.5322,1.0,0.7659,1.0,0,1549.7,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,17,0.5762,0.0184,1.0,0.8441,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,17,0.5762,0.0184,1.0,0.8441,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,18,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,18,0.7404,0.5,1.0,0.702,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,18,0.4463,-0.2143,1.0,0.6602,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,18,0.5444,0.0624,1.0,0.5973,1.0,0,3106.8,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,18,0.5836,0.0368,1.0,0.8444,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,18,0.5836,0.0368,1.0,0.8444,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,19,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,19,0.7617,0.5498,1.0,0.709,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,19,0.4402,-0.2317,1.0,0.6643,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,19,0.5288,0.0274,1.0,0.5894,1.0,0,2557.8,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,19,0.5739,0.0126,1.0,0.8443,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,19,0.5739,0.0126,1.0,0.8443,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,20,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,20,0.7512,0.5268,1.0,0.7025,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,20,0.4321,-0.2467,1.0,0.6537,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,20,0.5173,-0.0084,1.0,0.6033,1.0,0,2416.7,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,20,0.568,-0.0021,1.0,0.844,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,20,0.568,-0.0021,1.0,0.844,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,21,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,21,0.7513,0.5242,1.0,0.7084,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,21,0.4301,-0.2502,1.0,0.6509,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,21,0.5954,0.0663,1.0,0.8445,1.0,0,168.4,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,21,0.5778,0.0226,1.0,0.8441,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,21,0.5778,0.0226,1.0,0.8441,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,22,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,22,0.7436,0.5071,1.0,0.7037,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,22,0.4362,-0.2363,1.0,0.6536,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,22,0.351,-0.5294,1.0,0.8139,1.0,0,1339.6,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,22,0.5787,0.0247,1.0,0.8441,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,22,0.5787,0.0247,1.0,0.8441,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,23,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,23,0.745,0.5092,1.0,0.7065,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,23,0.4307,-0.2533,1.0,0.6602,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,23,0.5659,0.1061,1.0,0.6171,1.0,0,3733.0,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,23,0.5816,0.0324,1.0,0.8433,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,23,0.5816,0.0324,1.0,0.8433,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,24,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,24,0.7567,0.5364,1.0,0.7105,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,24,0.4369,-0.2349,1.0,0.6544,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,24,0.3664,-0.492,1.0,0.8158,1.0,0,1278.7,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,24,0.5766,0.0195,1.0,0.8442,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,24,0.5766,0.0195,1.0,0.8442,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,25,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,25,0.7442,0.5098,1.0,0.7015,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,25,0.436,-0.2396,1.0,0.6592,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,25,0.5041,-0.0476,1.0,0.6157,1.0,0,2234.2,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,25,0.5714,0.0065,1.0,0.8438,1.0,0,0.0,RISK_THRESHOLD,1
