config_idx,mean_hqm,beats_greedy,tau_low,tau_high,rho_commit,sigma_stable
449,0.6768,True,0.302663,0.684823,0.686928,0.051706
450,0.6661,True,0.483452,0.725761,0.577272,0.069856
451,0.6833,True,0.34644,0.584242,0.521628,0.069357
452,0.6747,True,0.295356,0.851197,0.678573,0.033467
453,0.6615,True,0.234379,0.870833,0.553861,0.063065
454,0.6701,True,0.339237,0.85801,0.741286,0.069786
455,0.6876,True,0.47437,0.483882,0.347003,0.03764
456,0.689,True,0.405301,0.408607,0.562853,0.042803
457,0.6833,True,0.281689,0.549727,0.370083,0.042129
458,0.6888,True,0.433851,0.451819,0.405409,0.042935
459,0.6741,True,0.355433,0.784227,0.373939,0.042574
460,0.688,True,0.273427,0.485972,0.673355,0.059988
461,0.6815,True,0.488849,0.569029,0.61993,0.042464
462,0.6844,True,0.480114,0.823428,0.405407,0.054403
463,0.6784,True,0.326835,0.779238,0.690314,0.050669
464,0.6799,True,0.339606,0.873096,0.512653,0.056393
465,0.6846,True,0.222798,0.535722,0.422292,0.069265
466,0.6708,True,0.259517,0.781816,0.358543,0.036978
467,0.6728,True,0.369768,0.820045,0.722136,0.043774
468,0.6776,True,0.366038,0.851303,0.592063,0.035189
469,0.6847,True,0.370674,0.541672,0.676395,0.038492
470,0.6902,True,0.213125,0.462024,0.535868,0.031126
471,0.6849,True,0.264264,0.515559,0.519168,0.048817
472,0.6766,True,0.275162,0.81644,0.765639,0.048681
473,0.6803,True,0.283195,0.835096,0.38681,0.065182
474,0.6845,True,0.308279,0.580187,0.423209,0.042217
475,0.6842,True,0.464074,0.834523,0.476939,0.039207
476,0.6872,True,0.403211,0.762587,0.364896,0.050254
477,0.684,True,0.32999,0.558482,0.534127,0.037058
