frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
145,32.243,PROBE,0.3435,0.4907,0.0,-0.0025,0.0047,0.0,0.0,0.0,
146,32.443,PROBE,0.5028,0.4956,0.5195,-0.0017,0.0049,0.0076,0.0216,0.0,
147,32.633,PROBE,0.3485,0.4978,0.0,-0.0019,0.0051,0.0,0.0,0.0,
148,32.828,PROBE,0.5094,0.4988,0.5342,-0.0012,0.0053,0.0019,0.0056,0.0,
149,33.024,PROBE,0.5123,0.4998,0.5414,-0.0003,0.0056,0.0003,0.0008,0.0,
150,33.218,PROBE,0.3512,0.5017,0.0,-0.0006,0.0057,0.0,0.0,0.0,
151,33.42,PROBE,0.513,0.5022,0.5383,0.0003,0.006,0.0,0.0,0.0,
152,33.619,PROBE,0.5116,0.5019,0.5342,0.0012,0.0062,0.0,0.0001,0.0,
153,33.815,PROBE,0.3428,0.4897,0.0,0.001,0.0063,0.0,0.0,0.0,
154,34.029,PROBE,0.3117,0.4452,0.0,0.0009,0.0064,0.0,0.0,0.0,
155,34.228,COMMIT,0.3117,0.4452,0.0,-0.0002,0.0065,0.0,0.0,0.0,G3
156,34.422,COMMIT,0.3117,0.4452,0.0,-0.0013,0.0067,0.0,0.0,0.0,
157,34.641,CRUISE,0.3117,0.4452,0.0,-0.0024,0.0069,0.0,0.0,0.0,G7_from_commit
158,34.842,CRUISE,0.3123,0.4462,0.0,-0.0024,0.0069,0.0,0.0,0.0,
159,35.045,CRUISE,0.4719,0.4453,0.5342,-0.0013,0.0067,0.0139,0.0002,0.0,
160,35.242,PROBE,0.4705,0.4466,0.5264,-0.0012,0.0067,0.0199,0.0013,0.0,G1
161,35.439,PROBE,0.4634,0.4461,0.5038,-0.0002,0.0065,0.0622,0.0762,0.0,
162,35.643,PROBE,0.4642,0.4515,0.4937,-0.0002,0.0065,0.0465,0.0006,0.0,
163,35.84,PROBE,0.3168,0.4525,0.0,-0.0002,0.0065,0.0,0.0,0.0,
164,36.051,PROBE,0.4645,0.4513,0.4952,-0.0002,0.0065,0.0011,0.0032,0.0,
165,36.26,PROBE,0.3165,0.4522,0.0,-0.0002,0.0064,0.0,0.0,0.0,
166,36.479,PROBE,0.3169,0.4527,0.0,-0.0001,0.0064,0.0,0.0,0.0,
167,36.69,PROBE,0.3239,0.4628,0.0,-0.0009,0.0064,0.0019,0.0053,0.0,
168,36.891,PROBE,0.3514,0.502,0.0,-0.0015,0.0064,0.0019,0.0053,0.0,
169,37.1,PROBE,0.5005,0.5028,0.4952,-0.0012,0.0067,0.0152,0.0434,0.0,
170,37.31,PROBE,0.3815,0.545,0.0,-0.0017,0.0066,0.2116,0.6046,0.0,
171,37.51,PROBE,0.3797,0.5425,0.0,-0.0022,0.0065,0.276,0.7885,0.0,
172,37.709,PROBE,0.3809,0.5442,0.0,-0.0017,0.0062,0.0,0.0,0.0,
173,37.9,PROBE,0.4107,0.5868,0.0,-0.002,0.0061,0.2992,0.8548,0.0,
174,38.104,PROBE,0.4389,0.6271,0.0,-0.0011,0.0058,0.3102,0.8862,0.0,
175,38.306,HOLD,0.4569,0.6527,0.0,-0.0011,0.0058,0.3158,0.9022,0.0,G2
176,38.511,HOLD,0.4599,0.6569,0.0,-0.0,0.0056,0.0,0.0,0.0,
177,38.718,HOLD,0.4599,0.6569,0.0,-0.0,0.0056,0.0,0.0,0.0,
178,38.935,HOLD,0.4606,0.658,0.0,0.0011,0.0054,0.0,0.0,0.0,
179,39.144,HOLD,0.611,0.6576,0.5024,0.0032,0.0064,0.0077,0.022,0.0,
180,39.352,HOLD,0.607,0.6532,0.4991,0.0041,0.0076,0.0864,0.2468,0.0,
181,39.56,HOLD,0.6037,0.6529,0.4891,0.006,0.0084,0.0413,0.1181,0.0,
182,39.758,HOLD,0.4584,0.6549,0.0,0.0069,0.0082,0.0,0.0,0.0,
183,39.971,HOLD,0.6027,0.6514,0.4891,0.0076,0.0091,0.1043,0.2981,0.0,
184,40.171,HOLD,0.5961,0.6488,0.4732,0.0079,0.0096,0.0867,0.2477,0.0,
185,40.394,HOLD,0.5941,0.6474,0.4699,0.0081,0.0098,0.034,0.0973,0.0,
